id;start_date;end_date;language
1;2020-04-24T06:13:00;2020-04-24T04:03:15;SPANISH
2;2020-04-23T11:03:11;2020-04-24T06:07:36;SPANISH
3;2020-04-24T01:58:30;2020-04-23T12:32:39;FRENCH
4;2020-04-23T17:16:01;2020-04-24T04:47:27;FRENCH
5;2020-04-24T02:46:19;2020-04-24T07:33:18;FRENCH
6;2020-04-23T20:38:40;2020-04-24T08:46:54;FRENCH
7;2020-04-23T22:24:00;2020-04-23T16:14:51;FRENCH
8;2020-04-23T21:20:13;2020-04-24T07:36:21;SPANISH
9;2020-04-23T20:01:22;2020-04-23T16:42:45;SPANISH
10;2020-04-24T04:13:26;2020-04-23T14:47:56;SPANISH
